id;codigo_postal;poblacion;provincia_id
377 ;01409;Zudubiarte;1
378 ;01420;Arbigano;1
379 ;01420;BasquiÑuelas;1
380 ;01420;Caicedo-sopeÑa;1
381 ;01420;Castillo SopeÑa;1
382 ;01420;Erriberagoitia;1
383 ;01420;HereÑa;1
384 ;01420;Paul;1
385 ;01420;Pobes;1
386 ;01420;Ribera Alta;1
387 ;01423;Alcedo;1
388 ;01423;Atiaga;1
389 ;01423;Atiega;1
390 ;01423;Bachicabo;1
391 ;01423;Barrio;1
392 ;01423;Bellojin;1
393 ;01423;Bergonda;1
394 ;01423;BergÜenda;1
395 ;01423;Espejo;1
396 ;01423;Fontecha;1
397 ;01423;Larrazubi;1
398 ;01423;Puentelarra;1
399 ;01423;Sobron;1
400 ;01423;Tuesta;1
401 ;01423;Villamaderne;1
402 ;01423;Villambrosa;1
403 ;01426;Arreo;1
404 ;01426;Astulez / Estuliz;1
405 ;01426;AÑana;1
406 ;01426;Caranca;1
407 ;01426;Fresneda;1
408 ;01426;Gesaltza AÑana;1
409 ;01426;Karkamu;1
410 ;01426;Nograro;1
411 ;01426;Osma;1
412 ;01426;Salinas De AÑana;1
413 ;01426;Valdegovia /gaubea;1
414 ;01426;VillanaÑe;1
415 ;01426;Villanueva De Valdegovia;1
416 ;01426;Viloria;1
417 ;01427;Acebedo;1
418 ;01427;Arroyo De San Zadornil;1
419 ;01427;Basabe;1
420 ;01427;Boveda;1
421 ;01427;Corro;1
422 ;01427;Gurendes-quejo;1
423 ;01427;Jurisdiccion De San Zadornil;1
424 ;01427;Lahoz;1
425 ;01427;Lalastra;1
426 ;01427;Mioma;1
427 ;01427;Pinedo;1
428 ;01427;Quejo;1
429 ;01427;Quintanilla De Valdegovia;1
430 ;01427;Ribera;1
431 ;01427;San Millan De San Zadornil;1
432 ;01427;San Zadornil;1
433 ;01427;Tobillas;1
434 ;01427;Valluerca;1
435 ;01427;Valpuesta;1
436 ;01427;Villafria De San Zadornil;1
437 ;01427;Villamardones;1
438 ;01428;Anucita;1
439 ;01428;Anuntzeta;1
440 ;01428;Artatza;1
441 ;01428;Artaza;1
442 ;01428;Axkoeta;1
443 ;01428;Barron;1
444 ;01428;Escota;1
445 ;01428;Guinea;1
446 ;01428;Lasierra;1
447 ;01428;Mandaita;1
448 ;01428;Montevite;1
449 ;01428;Morillas;1
450 ;01428;Nuvilla;1
451 ;01428;Olabarri;1
452 ;01428;Ollavarre;1
453 ;01428;Ormijana;1
454 ;01428;Subijana-morillas;1
455 ;01428;Tuyo;1
456 ;01428;Villaluenga;1
457 ;01430;Kuartango;1
458 ;01430;Zuhatzu Kuartango;1
459 ;01439;Anda;1
460 ;01439;Andagoia;1
461 ;01439;Aprikano;1
462 ;01439;Arriano;1
463 ;01439;Artxua / Archua;1
464 ;01439;Etxabarri-kuartango;1
465 ;01439;Guillarte / Gibilloarrate;1
466 ;01439;Inurrieta;1
467 ;01439;Jokano;1
468 ;01439;Katadiano;1
469 ;01439;Luna;1
470 ;01439;Marinda;1
471 ;01439;Santa Eulalia;1
